institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,61479,65371,6,2020,False,GFTI,False,OPEN,GN,3892,0.9344,Not IIT,Not NIT,Other,63124.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,58262,78744,6,2021,False,GFTI,False,OPEN,GN,20482,0.9052,Not IIT,Not NIT,Other,13373.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,58365,84713,6,2022,False,GFTI,False,OPEN,GN,26348,0.9038,Not IIT,Not NIT,Other,83690.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,53772,76770,6,2023,False,GFTI,False,OPEN,GN,22998,0.9274,Not IIT,Not NIT,Other,-7943.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,60893,80704,6,2025,False,GFTI,False,OPEN,GN,19811,0.9386,Not IIT,Not NIT,Other,3934.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,175514,397988,5,2019,False,GFTI,False,OPEN,GN,222474,0.6523,Not IIT,Not NIT,Other,117883.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,129172,251170,5,2024,False,GFTI,False,OPEN,GN,121998,0.8164,Not IIT,Not NIT,Other,78916.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,261215,334175,6,2018,False,GFTI,False,OPEN,GN,72960,0.6847,Not IIT,Not NIT,Other,129469.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,186636,257783,6,2020,False,GFTI,False,OPEN,GN,71147,0.7413,Not IIT,Not NIT,Other,-76392.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,134130,274792,6,2021,False,GFTI,False,OPEN,GN,140662,0.6692,Not IIT,Not NIT,Other,17009.0,False,False,Low Competition,6
